D	P
55+575	47+724
55+425	47+649
55+275	47+574
55+125	47+499
54+974	47+424
54+824	47+348
54+674	47+273
54+524	47+198
54+374	47+123
54+224	47+048
54+074	46+973
53+923	46+898
53+773	46+823
53+623	46+747
53+473	46+672
53+323	46+597
53+173	46+522
53+023	46+447
52+871	46+372
52+721	46+297
52+571	46+222
52+421	46+147
52+271	46+072
52+121	45+997
51+969	45+922
51+819	45+847
51+669	45+772
51+519	45+697
51+369	45+622
51+219	45+547
51+069	45+472
50+921	45+397
50+771	45+322
50+622	45+247
50+472	45+172
50+322	45+097
50+173	45+022
50+023	44+947
49+874	44+872
49+724	44+797
49+574	44+722
49+424	44+647
49+274	44+572
49+124	44+497
48+974	44+422
48+824	44+347
48+674	44+272
48+524	44+197
48+374	44+122
48+224	44+047
48+074	43+972
47+924	43+897
47+774	43+822
47+624	43+747
47+474	43+672
47+324	43+597
47+174	43+522
47+024	43+447
46+874	43+372
46+724	43+297
46+574	43+222
46+424	43+147
46+274	43+072
46+124	42+997
45+974	42+922
45+824	42+847
45+674	42+772
45+524	42+697
45+374	42+622
45+224	42+547
45+074	42+472
44+924	42+397
44+774	42+322
44+624	42+247
44+474	42+172
44+324	42+097
44+174	42+022
44+024	41+947
43+874	41+872
43+724	41+797
43+574	41+722
43+424	41+647
43+274	41+572
43+124	41+497
42+974	41+422
42+824	41+347
42+674	41+272
42+524	41+197
42+374	41+122
42+224	41+047
42+074	40+972
41+924	40+897
41+774	40+822
41+624	40+747
41+474	40+672
41+324	40+597
41+174	40+522
41+024	40+447
40+874	40+372
40+724	40+297
40+574	40+222
40+424	40+147
40+274	40+072
40+124	39+997
39+974	39+922
39+824	39+847
39+674	39+772
39+524	39+697
39+374	39+622
39+224	39+547
39+074	39+472
38+924	39+397
38+774	39+322
38+624	39+247
38+474	39+172
38+324	39+097
38+174	39+022
38+024	38+947
37+874	38+872
37+724	38+797
37+574	38+722
37+424	38+647
37+313	38+572
