D	P
55+742	55+650
55+675	55+600
55+650	55+550
55+625	55+500
55+575	55+450
55+550	55+400
55+525	55+350
55+492	55+300
55+475	55+250
55+425	55+200
55+375	55+150
55+325	55+100
55+275	55+050
55+225	55+000
55+175	54+949
55+125	54+899
55+075	54+849
55+024	54+799
54+974	54+749
54+924	54+699
54+874	54+674
54+824	54+649
54+774	54+599
54+724	54+549
54+674	54+499
54+624	54+449
54+574	54+399
54+524	54+349
54+474	54+299
54+424	54+249
54+374	54+199
54+324	54+149
54+274	54+099
54+224	54+049
54+174	53+999
54+124	53+947
54+074	53+897
54+024	53+847
53+973	53+797
53+923	53+747
53+873	53+697
53+823	53+647
53+773	53+623
53+723	53+597
53+673	53+547
53+623	53+497
53+573	53+447
53+523	53+397
53+473	53+347
53+423	53+297
53+373	53+247
53+323	53+197
53+273	53+147
53+223	53+097
53+173	53+047
53+123	52+997
53+073	52+947
53+023	52+896
52+973	52+846
52+921	52+796
52+871	52+746
52+821	52+696
52+771	52+646
52+721	52+596
52+671	52+546
52+634	52+496
52+621	52+446
52+571	52+396
52+521	52+346
52+471	52+296
52+421	52+246
52+371	52+196
52+321	52+146
52+271	52+096
52+221	52+046
52+171	51+994
52+121	51+944
52+071	51+894
52+021	51+844
51+969	51+794
51+919	51+744
51+869	51+694
51+819	51+644
51+769	51+617
51+719	51+594
51+669	51+544
51+619	51+494
51+569	51+444
51+519	51+394
51+469	51+344
51+419	51+274
51+369	51+244
51+319	51+194
51+269	51+144
51+219	51+094
51+169	51+044
51+119	50+994
51+069	50+945
51+019	50+845
50+970	50+795
50+921	50+696
50+871	50+647
50+821	50+597
50+771	50+547
50+721	50+477
50+671	50+447
50+622	50+397
50+572	50+347
50+522	50+278
50+472	50+248
50+422	50+198
50+372	50+148
50+322	50+098
50+273	50+048
50+223	49+998
50+173	49+949
50+123	49+899
50+073	49+849
50+023	49+799
49+973	49+749
49+924	49+699
49+874	49+649
49+824	49+549
49+774	49+499
49+724	49+449
49+674	49+399
49+624	49+349
49+574	49+299
49+524	49+249
49+474	49+199
49+424	49+149
49+374	49+099
49+324	49+054
49+274	48+999
49+224	48+949
49+174	48+899
49+124	48+849
49+074	48+799
49+024	48+749
48+974	48+699
48+924	48+649
48+874	48+599
48+824	48+549
48+774	48+499
48+724	48+449
48+674	48+424
48+624	48+399
48+574	48+349
48+524	48+299
48+474	48+249
48+424	48+199
48+374	48+149
48+324	48+099
48+274	48+049
48+224	47+999
48+174	47+949
48+124	47+899
48+074	47+849
48+024	47+799
47+974	47+724
47+924	47+699
47+874	47+649
47+824	47+599
47+774	47+549
47+724	47+524
47+674	47+499
47+624	47+323
47+574	47+273
47+524	47+223
47+474	47+173
47+348	47+123
47+298	47+075
47+248	47+025
47+198	46+975
47+153	46+921
47+100	46+855
47+050	46+800
47+001	46+747
46+951	46+697
46+848	46+647
46+781	46+597
46+731	46+547
46+681	46+497
46+631	46+447
46+581	46+397
46+531	46+366
46+481	46+232
46+431	46+208
46+381	46+158
46+184	46+108
46+134	46+058
46+064	46+008
46+034	45+958
45+985	45+908
45+935	45+858
45+886	45+808
45+836	45+758
45+786	45+708
45+733	45+658
45+683	45+608
45+633	45+558
45+583	45+508
45+533	45+483
45+483	45+458
45+433	45+408
45+383	45+358
45+333	45+308
45+283	45+258
45+233	45+208
45+183	45+158
45+133	45+108
45+083	45+058
45+033	45+008
44+983	44+958
44+933	44+908
44+883	44+858
44+833	44+808
44+783	44+758
44+733	44+708
44+683	44+658
44+633	44+608
44+583	44+558
44+533	44+508
44+486	44+458
44+436	44+408
44+388	44+363
44+338	44+319
44+288	44+294
44+238	44+269
44+188	44+219
44+138	44+169
44+088	44+119
44+038	44+069
43+988	44+019
43+938	43+969
43+888	43+919
43+838	43+869
43+788	43+813
43+738	43+763
43+688	43+713
43+638	43+663
43+588	43+613
43+538	43+563
43+488	43+513
43+438	43+463
43+388	43+413
43+333	43+363
43+288	43+313
43+238	43+263
43+188	43+213
43+138	43+163
43+088	43+113
43+038	43+088
42+988	43+013
42+938	42+963
42+888	42+913
42+838	42+863
42+788	42+813
42+738	42+763
42+686	42+713
42+638	42+663
42+588	42+613
42+538	42+563
42+488	42+513
42+438	42+463
42+388	42+413
42+338	42+363
42+288	42+313
42+238	42+263
42+188	42+231
42+138	42+163
42+088	42+113
42+038	42+063
41+987	42+013
41+937	41+963
41+886	41+913
41+836	41+890
41+786	41+863
41+738	41+813
41+688	41+757
41+638	41+713
41+585	41+663
41+535	41+613
41+484	41+563
41+434	41+513
41+381	41+463
41+333	41+413
41+283	41+363
41+232	41+313
41+182	41+259
41+082	41+213
41+032	41+163
40+988	41+113
40+932	41+063
40+882	41+013
40+832	40+983
40+782	40+963
40+732	40+913
40+668	40+863
40+638	40+813
40+588	40+763
40+538	40+713
40+488	40+663
40+438	40+613
40+388	40+563
40+338	40+513
40+288	40+463
40+238	40+413
40+188	40+363
40+138	40+313
40+088	40+263
40+038	40+213
39+988	40+163
39+938	40+113
39+888	40+063
39+838	40+013
39+788	39+963
39+738	39+913
39+688	39+888
39+638	39+863
39+588	39+813
39+538	39+763
39+488	39+713
39+438	39+663
39+388	39+613
39+338	39+563
39+288	39+513
39+238	39+463
39+188	39+413
39+088	39+363
39+038	39+313
38+988	39+263
38+938	39+213
38+888	39+163
38+838	39+113
38+788	39+063
38+738	39+013
38+688	38+963
38+638	38+903
38+588	38+863
38+538	38+813
38+488	38+788
38+438	38+763
38+388	38+713
38+338	38+663
38+288	38+613
38+238	38+563
38+188	38+513
38+138	38+463
38+088	38+413
38+038	38+363
37+988	38+313
37+938	38+263
37+888	38+213
37+838	38+163
37+788	38+113
37+738	38+063
37+688	38+013
37+638	37+963
37+588	37+913
37+538	37+863
37+486	37+813
37+435	37+763
37+383	37+713
37+333	37+663
37+284	37+613
	37+563
	37+512
	37+463
	37+413
	37+363
	37+313
	37+293
	37+259
